segment_id,function_class,lane_number,speed_class,road_length,out_degree,trajectory_count,medium_speed,other_attrs_json
146797921,5,1,6,8,2,5,5,
5003557030,5,1,7,32,3,5,8,
146797800,5,1,6,25,4,5,4,
90000220120381,5,1,6,91,3,5,5,
90001224387611,3,2,5,12,3,5,9,
328311930,5,1,6,44,2,5,4,
887431330,5,1,6,211,4,5,12,
258766450,5,1,6,8,2,5,0,
90000467714121,5,1,6,180,3,5,8,
90000225394740,5,1,6,224,3,5,7,
90000251601770,5,1,6,73,4,5,0,
3625851,4,2,6,78,3,5,9,
7012111,5,1,7,114,2,5,4,
6947850,5,1,7,22,3,5,0,
713700280,5,1,7,126,3,5,5,
90001879876481,5,1,6,55,3,5,0,
90000220326900,5,1,6,68,4,5,9,
90001924939310,5,1,6,105,3,5,8,
90000001146610,5,1,6,20,3,5,8,
90001942128971,5,1,6,109,2,5,8,
90000012970530,5,1,6,228,4,5,11,
90001980648661,5,1,7,111,2,5,4,
90001821133771,5,1,7,81,3,5,0,
90001848482861,5,1,6,232,3,5,12,
90000995721340,5,1,6,39,5,5,1,
90000013262581,5,1,6,14,3,5,1,
90001814253820,5,1,6,19,3,5,0,
5102112971,5,1,6,52,3,5,3,
165904111,5,1,6,148,4,5,2,
3904781,5,1,6,76,3,5,7,
857087120,5,1,7,15,3,5,0,
90000237607880,5,1,7,73,3,5,2,
90000627973570,5,1,6,166,2,5,12,
90001813479600,5,1,6,34,2,5,6,
9897111,5,1,6,141,3,5,12,
90000327549601,5,1,6,44,3,5,4,
90001388978491,5,1,6,164,2,5,12,
142265061,5,1,6,13,4,5,1,
490465851,5,1,6,39,3,5,6,
90000199174400,5,1,7,49,3,5,9,
622699091,5,1,6,167,3,5,12,
90001617305301,5,1,6,36,3,5,4,
172567760,3,2,5,22,2,5,10,
5640210,4,2,5,66,2,5,9,
90001426574381,5,1,6,175,3,5,6,
298332830,5,1,6,59,3,5,2,
4909711,5,1,7,21,2,5,4,
90001723886170,5,1,6,153,3,5,0,
90000570076560,5,1,6,94,4,5,4,
90000013167531,5,1,6,451,4,5,12,
90001653996121,5,1,6,74,3,5,6,
863444100,5,1,6,59,3,5,11,
5818440,5,1,6,200,3,5,9,
717596961,5,1,7,16,2,5,8,
90001430085741,5,1,6,79,3,5,2,
90000909089690,5,1,6,174,3,5,11,
647556270,5,1,6,32,3,5,3,
90001848457381,5,1,6,109,2,5,13,
90001427151831,5,1,6,242,3,5,10,
629924900,5,1,7,32,4,5,3,
501352011,5,1,6,54,3,5,11,
90001725781070,5,1,6,107,2,5,4,
90000229600930,5,1,6,28,3,5,0,
90001434086870,5,1,7,19,2,2,0,
90000261365341,5,1,6,81,2,5,6,
90000254442360,5,1,6,26,2,5,2,
90001815742821,5,1,6,158,3,5,4,
90001691703361,5,1,6,18,2,5,4,
90001376590461,5,1,6,157,3,5,14,
90000220443900,5,1,6,54,4,5,10,
735184720,5,1,6,9,2,5,0,
180654141,5,1,7,145,4,5,0,
3165111,5,1,6,136,3,5,0,
5552391,4,1,6,12,2,5,2,
90000220366151,5,1,6,118,3,5,6,
725163091,5,1,6,11,3,5,2,
4790771,4,1,6,113,3,6,11,
261671160,5,1,6,77,3,5,8,
90000908396501,5,1,6,74,3,5,13,
320925420,5,1,6,377,3,5,9,
400144580,5,1,6,79,3,5,14,
9851911,5,1,6,12,3,0,1,
